%META:TOPICINFO{author="RobertEngel" date="1312301008" format="1.1" version="1.322"}%
%META:TOPICPARENT{name="WebHome"}%
---+!! Updating the OSG WBS
%INCLUDE{ "WbsStatusUpdateProcess" }%

%EDITTABLE{ format="| label, 0 | label, 0 |  label, 0  | label, 0 | label, 0 |   text, 8 |   text, 8 |   text, 4, 0% |  label, 0  | textarea, 2x20 |"  changerows="off" headerislabel="on" editbutton="Edit Table" header"| *ID* | *WBS* | *Agency Milestone* | *Name* | *In Charge* | *Start Date* | *Finish Date* | *% Done* | *Edit Line* | *Comments* |" helptopic="WbsStatusUpdateProcess" }% 
%TABLE{ valign="top" dataalign="left, left, center, left, left, center, center, right, center, center" }%
| *ID* | *WBS* | *Agency Milestone* | *Name* | *In Charge* | *Start Date* | *Finish Date* | *% Done* | *Edit Line* | *Comments* |
| 137 | 1.2.2.2.1 | No | Notification of events for Core and Support Services | Quick | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 138 | 1.2.2.2.2 | No | Maintain 24x7 phone, email, and web support for trouble ticket submission | Quick | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 139 | 1.2.2.2.3 | No | Weekly operations phone cal | Quick | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 140 | 1.2.2.2.4 | No | Wellness visits to major OSG stakeholder sites | Quick | 10/1/10 | 9/30/11 | 25% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 141 | 1.2.2.3 | No | Ticket Handling | Quick | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 75% %EDITCELL{ "label, 0" }% | | |
| 142 | 1.2.2.3.1 | No | Continue Normal Ticket Troubleshooting and Routing | Quick | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 143 | 1.2.2.3.2 | No | Continue Ticket Exchange Services with Stakeholders | Quick | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 144 | 1.2.2.4 | No | Provide 24x7 Support for Security | Quick | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 145 | 1.2.2.5 | No | Introduce New Services to Operational Infrastructure as Necessary | Quick | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 77% %EDITCELL{ "label, 0" }% | | |
| 146 | 1.2.2.5.1 | No | Create SLAs for New Services | Quick | 10/1/10 %EDITCELL{ "label, 0" }% | 11/1/10 %EDITCELL{ "label, 0" }% | 100% %EDITCELL{ "label, 0" }% | | |
| 147 | 1.2.2.5.1.1 | No | Implement SLA for UCSD Glide-In Factory | Quick,Sfiligoi | 10/1/10 | 11/1/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 148 | 1.2.2.5.2 | No | Evaluate New Services Technologies | Quick | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 149 | 1.2.2.6 | No | Provide OSG internal metrics on operations | Quick | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 75% %EDITCELL{ "label, 0" }% | | |
| 150 | 1.2.2.6.1 | No | Availability and Reliability of Core Services | Quick | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 151 | 1.2.2.6.2 | No | Ticket Handling | Quick | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 152 | 1.2.3 | No | Improving Operational Processes | Quick | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 52% %EDITCELL{ "label, 0" }% | | |
| 153 | 1.2.3.1 | No | Review/update documentation of OSG operational processes and procedures | Quick | 10/1/10 | 9/30/11 | 80% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 154 | 1.2.3.2 | No | Analysis of benefit and impact of distributed operational Infrastructure | Quick | 10/1/10 | 9/30/11 | 50% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 155 | 1.2.3.3 | No | Improve efficiency of administrative processes (automation) as identified | Quick | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 156 | 1.2.3.4 | No | Conduct an operational process review | Quick | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 157 | 1.2.3.4.1 | No | Conduct an internal Audit of Core Service Vital Functions | Quick | 10/1/10 | 3/30/11 | 60% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 158 | 1.2.4 | No | Help Regional Grids with Operational Infrastructure | Quick | 10/1/10 | 9/30/11 | 50% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 159 | 1.2.5 | No | Interaction with External Projects | Quick | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 160 | 1.3 | No | Integration and Sites | Gardner | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 29% %EDITCELL{ "label, 0" }% | | |
| 161 | 1.3.1 | No | Improve release processes for ITB | Thapa | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 30% %EDITCELL{ "label, 0" }% | | |
| 162 | 1.3.1.1 | No | Adapt ITB testing process to native packaging tools | Thapa | 10/1/10 | 9/30/11 | 33% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 163 | 1.3.1.2 | No | Provide installation packages and cache in a managed software repository | Thapa | 10/1/10 | 9/30/11 | 33% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 164 | 1.3.1.3 | No | Coordinate with GOC to provide testing of central services | Thapa | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 165 | 1.3.1.4 | No | Coordinate with Security to provide testing of ca cert and certificate updates and changes | Thapa | 10/1/10 | 9/30/11 | 50% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 166 | 1.3.1.5 | No | Coordinate with Storage to provide more testing of storage releases and coverage of additional components as they are added | Thapa | 10/1/10 | 9/30/11 | 33% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 167 | 1.3.2 | No | Automate VTB & ITB Testing | Thapa | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 30% %EDITCELL{ "label, 0" }% | | |
| 168 | 1.3.2.1 | No | Improve existing tests and integrate with osg test suite if possible | Thapa | 10/1/10 | 9/30/11 | 33% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 169 | 1.3.2.2 | No | Create site to present historical information on previous test runs | Thapa | 10/1/10 | 12/31/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 170 | 1.3.2.3 | No | Provide clear and easy to understand report on tests conducted for each release | Thapa | 10/1/10 | 9/30/11 | 10% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 171 | 1.3.3 | No | Improve management and operation of the persistent ITB | Thapa | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 43% %EDITCELL{ "label, 0" }% | | |
| 172 | 1.3.3.1 | No | Revise VTB and ITB testing to speedup release cycle. | Thapa, Sakrejda | 10/1/10 | 9/30/11 | 20% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 173 | 1.3.3.2 | No | Keep sites up to date with incremental updates. | Sakrejda | 10/1/10 | 9/30/11 | 33% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 174 | 1.3.3.3 | No | Commission OSG-dedicated persistent ITB site | Thapa, Yehle | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 175 | 1.3.3.4 | No | Provide continuous monitoring of ITB resources. | Thapa | 10/1/10 | 9/30/11 | 33% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 176 | 1.3.3.5 | No | Provide support for on-demand VO testing. | Sakrejda | 10/1/10 | 9/30/11 | 33% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 177 | 1.3.3.6 | No | Virtualize ITB resources to allow testing to be reproduced reliably and to aid in troubleshooting | Thapa | 10/1/10 | 1/31/11 | 20% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 178 | 1.3.3.7 | No | Setup configuration management of ITB site for better reliability | Thapa | 10/1/10 | 12/31/10 | 50% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 179 | 1.3.4 | No | Community building for site administrators | Mambelli | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 22% %EDITCELL{ "label, 0" }% | | |
| 180 | 1.3.4.1 | No | Organize hands-on site administrator’s workshops. | Mambelli | 10/1/10 | 9/30/11 | 30% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 181 | 1.3.4.2 | No | Organize site administrators online meetings. | Mambelli | 10/1/10 | 9/30/11 | 40% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 182 | 1.3.4.3 | No | Support sites through chat support | Thapa, Sakrejda, Mambelli | 10/1/10 | 9/30/11 | 40% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 183 | 1.3.4.4 | No | Contribute to campus grids program of work to foster OSG spreading at the campus level | Mambelli, Thapa | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 184 | 1.3.4.5 | No | Create sites forum, blog, content collaborative platform | Mambelli | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 185 | 1.3.5 | No | Documentation | Mambelli, Thapa | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 17% %EDITCELL{ "label, 0" }% | | |
| 186 | 1.3.5.1 | No | Update documentation based on recommendations of documentation group | Thapa, Sakrejda, Mambelli | 10/1/10 | 9/30/11 | 40% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 187 | 1.3.5.2 | No | Review and prune existing documentation to remove outdated materials | Thapa, Sakrejda, Mambelli | 10/1/10 | 9/30/11 | 40% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 188 | 1.3.5.3 | No | Work with Content Management and Training to develop technical materials relevant to OSG site administrators. | Thapa, Sakrejda, Mambelli, Engel | 10/1/10 | 9/30/11 | 10% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 189 | 1.3.5.4 | No | Contribute technical content and documentation relevant for OSG site administrators. | Thapa, Sakrejda, Mambelli, Engel | 10/1/10 | 9/30/11 | 10% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 190 | 1.3.5.5 | No | Contribute technical documentation for automated testing | Thapa | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 191 | 1.3.5.6 | No | Contribute technical content and documentation relevant for the persistent ITB. | Thapa, Sakrejda, Engel | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 192 | 1.3.6 | No | Small Scale Sites | Mambelli | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 36% %EDITCELL{ "label, 0" }% | | |
| 193 | 1.3.6.1 | No | Devise simplified configurations for small sites with limited IT support | Mambelli | 10/1/10 | 9/30/11 | 20% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 194 | 1.3.6.2 | No | Write a alternative set of documents easier for new site administrators | Mambelli | 10/1/10 | 11/30/10 | 80% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 195 | 1.3.6.3 | No | Survey resource administrators about technologies | Mambelli | 10/1/10 | 11/30/10 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 196 | 1.3.6.4 | No | Work with Production area to provide support for LHC Tier 3 sites. | Mambelli | 10/1/10 | 9/30/11 | 40% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 197 | 1.3.6.5 | No | Work with VO area to provide support forfor sites of other VOs, especially smaller sites with limited IT personnel | Mambelli | 10/1/10 | 9/30/11 | 40% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 198 | 1.3.6.6 | No | Create, maintain and use a virtual Tier 3 cluster to test different configurations | Mambelli | 10/1/10 | 9/30/11 | 50% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 199 | 1.3.6.7 | No | Test software solution targeting simple deployment for small sites | Mambelli | 10/1/10 | 9/30/11 | 40% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 200 | 1.3.6.8 | No | Testing and documentation review for OSG job submission components (OSG Client, GlideinWMS VO frontend) | Mambelli | 1/7/11 | 4/29/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 201 | 1.4 | No | VOs and User Support | Sehgal | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 41% %EDITCELL{ "label, 0" }% | | |
| 202 | 1.4.1 | No | Track & capture (in OSG twiki) VOs plans & requirements for using OSG | tbd | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 205 | 1.4.4 | No | Support the VOs in identifying and resolving issues via joint action of the VO community and OSG staff | Garzloglio, Slyz | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 206 | 1.4.5 | No | Organize a forum for regular stakeholder interaction | Sehgal | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 62% %EDITCELL{ "label, 0" }% | | |
| 207 | 1.4.5.1 | No | Organize Weekly-VO-Forum teleconferences, inviting select VOs and peer OSG Areas. | Sehgal | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 209 | 1.4.5.3 | No | Organize F2F meetings with specific VOs as needed. | Sehgal | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 210 | 1.4.6 | No | Coordinate stakeholder participation in OSG planning and software | Sehgal | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 75% %EDITCELL{ "label, 0" }% | | |
| 211 | 1.4.6.1 | No | Plan and execute pre-release software validation by VOs (including ATLAS, CMS, LIGO) on ITB. | Thapa | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 212 | 1.4.6.2 | No | Manage and track VOs software requirements. | Roy | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 213 | 1.4.7 | No | Active support for VOs (& communities) | Garzoglio | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 38% %EDITCELL{ "label, 0" }% | | |
| 214 | 1.4.7.1 | No | LSST | Garzoglio | 10/1/10 | 9/30/11 | 50% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 216 | 1.4.7.3 | No | GEANT4 | Garzoglio | 10/1/10 | 12/24/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 217 | 1.4.7.4 | No | NEES | Garzoglio | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 218 | 1.4.7.5 | No | DES | Garzoglio | 2/10/11 | 9/30/11 | 25% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 219 | 1.4.7.6 | No | Support Campus Grids with CICC - Campus Champions | Garzoglio, Slyz | 2/8/11 | 9/23/11 | 25% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 220 | 1.4.7.7 | No | SURAgrid | Sehgal | 3/15/11 | 8/15/11 | 25% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 221 | 1.4.7.8 | No | eNMR as SBgrid Partner | Sehgal | 3/16/11 | 6/15/11 | 25% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 223 | 1.5 | No | Engage | McGee | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 73% %EDITCELL{ "label, 0" }% | | |
| 224 | 1.5.1 | No | User Engagement | McGee, Rynge | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 62% %EDITCELL{ "label, 0" }% | | |
| 225 | 1.5.1.1 | No | Engage 10 new users | McGee, Rynge | 10/1/10 | 9/30/11 | 70% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 226 | 1.5.1.2 | No | Continue MPI efforts across OSG | Thain | 10/1/10 | 9/30/11 | 50% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 227 | 1.5.1.3 | No | Steffen Bass et al - thoughput and iRODS | McGee, S.Cox | 10/1/10 | 1/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 228 | 1.5.2 | No | Engage Infrastructure | McGee | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 80% %EDITCELL{ "label, 0" }% | | |
| 229 | 1.5.2.1 | No | Maintain existing infrastructure for existing users | McGee, S.Cox, Rynge | 10/1/10 | 9/30/11 | 50% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 230 | 1.5.2.2 | No | Investigate GlideinWMS as a replacement for OSGMM | S.Cox | 10/1/10 | 1/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 231 | 1.5.2.3 | No | Support RENCI Science Portal as an OSG access mechanism | J.Reilly, S.Cox | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 232 | 1.5.2.4 | No | OSG Access to RENCI-BlueRidge | S.Cox | 10/1/10 | 11/30/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 233 | 1.5.3 | No | Clemson Contributions | McGee | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 75% %EDITCELL{ "label, 0" }% | | |
| 234 | 1.5.3.1 | No | Engage users requiring virtualization on OSG | Goasguen, McGee | 10/1/10 | 9/30/11 | 65% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 235 | 1.5.3.2 | No | Work with campuses to deploy | Goasguen, McGee | 10/1/10 | 9/30/11 | 80% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 236 | 1.5.3.3 | No | Investigate VM computing across OSG, Magelllan and Future Grid | Goasguen, McGee | 10/1/10 | 9/30/11 | 80% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 237 | 1.6 | No | Campus Grids | Fraser | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 90% %EDITCELL{ "label, 0" }% | | |
| 238 | 1.6.1 | No | Document the Benefits of Campus Grids and Identify a prioritized list of Campus proponents | Fraser | 10/1/10 | 10/30/10 | 90% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 239 | 1.6.2 | No | Field Survey at least 6 existing and potential campus Grid sites to understand and Articulate Campus Grid successe, barriers, and needs | Fraser | 11/1/10 | 12/15/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 240 | 1.6.3 | No | Represent OSG Campus Grids (and vision) at appropriate conferences and workshops | Fraser | 10/1/10 | 9/30/11 | 90% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 241 | 1.6.4 | No | Create a plan for Campus Grid deployments | Fraser | 1/3/11 %EDITCELL{ "label, 0" }% | 3/15/11 %EDITCELL{ "label, 0" }% | 70% %EDITCELL{ "label, 0" }% | | |
| 242 | 1.6.4.1 | No | Articulate and circulate use cases | Fraser | 1/3/11 | 1/30/11 | 25% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 243 | 1.6.4.2 | No | Identify necessary development efforts | Fraser | 2/1/11 | 2/15/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 244 | 1.6.4.3 | No | Identify manpower that will be used to complete the Y5 effort | Fraser | 2/15/11 | 3/15/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 245 | 1.6.5 | No | Identify and work with one campus as a prototype | Fraser | 2/1/11 %EDITCELL{ "label, 0" }% | 6/1/11 %EDITCELL{ "label, 0" }% | 100% %EDITCELL{ "label, 0" }% | | |
| 246 | 1.6.5.1 | No | Create a design architecture | Fraser | 2/1/11 | 2/28/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 247 | 1.6.5.2 | No | Deploy a Campus Grid prototype | Fraser | 3/1/11 | 6/1/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 248 | 1.7 | No | Security | Altunay | 8/2/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 70% %EDITCELL{ "label, 0" }% | | |
| 249 | 1.7.1 | No | Operational Security | Altunay | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 95% %EDITCELL{ "label, 0" }% | | |
| 250 | 1.7.1.1 | No | Incident Response and Prevention | Barlow | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 91% %EDITCELL{ "label, 0" }% | | |
| 251 | 1.7.1.1.1 | No | Exchange information with other grid security teams. Participate in grid-sec, globus-sec and other email lists for possible threats, vulnerabilities | Barlow | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 252 | 1.7.1.1.2 | No | Perform vulnerability watch : check security bulletins, one team member each week | Altunay, Padmanabhan, Barlow, Sfiligoi | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 253 | 1.7.1.1.3 | No | Conduct an incident drill | Padmanabhan, Altunay | 10/1/10 | 3/15/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 254 | 1.7.1.1.4 | No | ST&E controls, and review and update of Security Plan and Risk Assessment Plan | Altunay, Padmanabhan | 10/1/10 | 9/30/11 | 70% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 255 | 1.7.1.2 | No | T3 Support | Barlow | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 90% %EDITCELL{ "label, 0" }% | | |
| 256 | 1.7.1.2.1 | No | Continue support for T3s (T2 and T1 included when necessary) | Barlow | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 257 | 1.7.1.2.2 | No | Help transitioning the Pakiti service to GOC, when necessary help GOC with operational problems | Padmanabhan | 10/1/10 | 12/31/10 | 15% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 258 | 1.7.1.2.3 | No | Monitor the results from Pakiti service, contact T3 admins when necessary | Barlow | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 259 | 1.7.1.3 | No | Continuous Operational Work | Altunay | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 100% %EDITCELL{ "label, 0" }% | | |
| 260 | 1.7.1.3.1 | No | Prepare CA distribution packages, every two months | Padmanabhan, Altunay | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 261 | 1.7.1.3.2 | No | Run DOEgrids RA | Quick | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 262 | 1.7.1.3.3 | No | Maintain Security RSV probes | Padmanabhan | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 263 | 1.7.1.3.4 | No | Participate in IGTF, send comments to JSPG | Altunay | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 264 | 1.7.1.3.5 | No | Work on security tickets in GOC and VDT ticketing queue | Altunay | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 265 | 1.7.2 | No | Authentication and Identity Infrastructure | Altunay | 10/1/10 %EDITCELL{ "label, 0" }% | 2/15/11 %EDITCELL{ "label, 0" }% | 70% %EDITCELL{ "label, 0" }% | | |
| 266 | 1.7.2.1 | No | Test CILogon CA in OSG infrastructure. Setup a test Shib IdP to be tested with CILogon | Altunay, Padmanabhan | 10/1/10 | 12/15/10 | 70% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 267 | 1.7.2.2 | No | Complete OSG identity roadmap. Advertise the recommendations from the roadmap to the user community. When useful, collaborate with Galois to enhance and complete the identity roadmap. | Altunay | 10/1/10 | 2/15/11 | 70% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 268 | 1.7.3 | No | Virtualization technologies | Altunay | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 0% %EDITCELL{ "label, 0" }% | | |
| 269 | 1.7.3.1 | No | Understand and discuss security needs of virtualization technologies and clouds | Altunay | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 270 | 1.7.5 | No | Training, Education and Documentation | Sfiligoi, Barlow | 8/2/10 %EDITCELL{ "label, 0" }% | 8/31/11 %EDITCELL{ "label, 0" }% | 25% %EDITCELL{ "label, 0" }% | | |
| 271 | 1.7.5.1 | No | Prepare how-to guides for sites and users | Sfiligoi | 8/2/10 | 8/31/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 272 | 1.7.5.2 | No | How to securely configure and install VDT (including non-security software) | Sfiligoi | 8/2/10 | 8/31/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 273 | 1.7.5.3 | No | How to operate a site securely (for site admins, day-day tasks, how to register with OIM, read security advisories, check security team’s signatures, etc) | Sfiligoi | 8/2/10 | 8/31/11 | 30% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 274 | 1.7.5.4 | No | How to access OSG for end user (get cert, import into a browser, renew, register with VOMS, etc) | Sfiligoi | 8/2/10 | 8/31/11 | 70% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 275 | 1.7.5.5 | No | Help with completing documentation project | Barlow, Padmanabhan, Sfiligoi, Altunay | 10/1/10 | 10/1/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 276 | 1.8 | No | Content Management | Engel | 9/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 65% %EDITCELL{ "label, 0" }% | | |
| 277 | 1.8.1 | No | Staff and Contributor Coordination and Delivery | Engel | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 83% %EDITCELL{ "label, 0" }% | | |
| 278 | 1.8.1.1 | No | Run weekly meetings to review, plan and discuss documentation activities | Engel, Document Area Coordinators. | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 279 | 1.8.1.2 | No | Continue to help document area coordinators with the infrastructure and delivery of documents | Engel, Document Area Coordinators. | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 280 | 1.8.1.3 | No | Provide Training for Document Area Coordinators | Engel | 10/1/10 | 11/1/10 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 281 | 1.8.1.4 | No | Identify owners for each documentation area | Engel | 10/1/10 | 9/29/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 282 | 1.8.2 | No | Content Management Infrastructure | Engel | 9/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 57% %EDITCELL{ "label, 0" }% | | |
